A-00072,2,Anel fumê de falange coroa,29.00,32.00,,kg,71171900,Anéis,0.200,,
A-00073,2,Anel fumê de falange liso,24.00,26.00,,kg,71171900,Anéis,0.010,,
A-00074,2,Anel dourado de falange liso,24.00,26.00,,kg,71171900,Anéis,0.100,,
A-00075,2,Anel dourado de falange coraçao,26.00,28.00,,kg,71171900,Anéis,0.100,,
A-00076,2,Anel fumê de falange coraçao,26.00,28.00,,kg,71171900,Anéis,0.100,,
A-00077,2,Anel dourado de falange zig zag,26.00,28.00,,kg,71171900,Anéis,0.100,,
A-00078,2,Anel fumê de falange zig zag,26.00,28.00,,kg,71171900,Anéis,0.100,,
B-00001,2,Brinco ferradura dourado ,10.00,10.00,,kg,71171900,Brinco,0.100,,
B-00002,2,Brinco dourado de cruz pequena,24.00,16.00,,kg,71171900,Brinco,0.100,,
B-00003,2,Brinco dourado de coração vazado,24.00,19.00,,kg,71171900,Brinco,0.100,,
B-00004,1,Brinco dourado formato de diamante ,9.00,13.00,,kg,71171900,Brinco,0.100,,
B-00005,2,Brinco fumê com desenhos vazados,16.00,25.00,,kg,71171900,Brinco,0.100,,
B-00007,2,Brinco dourado LOVE,14.00,17.00,,kg,71171900,Brinco,0.100,,
B-00008,1,Brinco Dourado Menininha ,4.00,13.00,,kg,71171900,Brinco,0.100,,
B-00009,2,Brinco dourado de circulos,129.00,84.00,,kg,71171900,Brinco,0.200,,
B-00010,2,Brinco dourado com quadradinhos,69.00,45.00,,kg,71171900,Brinco,0.100,,
B-00011,2,Brinco dourado e fumê com folhas,44.00,32.00,,kg,71171900,Brinco,0.200,,
B-00014,2,Brinco dourado com círculos de laço ,18.00,17.00,,kg,71171900,Brinco,0.200,,
B-00015,2,Brinco dourado fosco quadrado irregular,54.00,35.00,,kg,71171900,Brinco,0.100,,
B-00016,2,Brinco dourado de argola com detalhes na,12.00,16.00,,kg,71171900,Brinco,0.100,,
B-00018,2,Brinco rose escovado com círculos largos,50.00,35.00,,kg,71171900,Brinco,0.300,,
B-00021,2,Brinco Dourado Vazado Indiano,89.00,58.00,,kg,71171900,Brinco,0.200,,
B-00022,2,Brinco Fumê Vazado Indiano,89.00,43.00,,kg,71171900,Brinco,0.200,,
B-00025,2,Brinco dourado escovado de folhas longo,22.00,21.00,,kg,71171900,Brinco,0.200,,
B-00026,2,Brinco Dourado com pendente de gota,20.00,19.00,,kg,71171900,Brinco,0.200,,
B-00027,2,Brinco dourado com três elos vazados ,34.00,29.00,,kg,71171900,Brinco,0.100,,
B-00028,2,Brinco dourado longo com 2 gotas de lado,20.00,21.00,,kg,71171900,Brinco,0.100,,
B-00029,2,Brinco dourado e fumê com circulos,79.00,52.00,,kg,71171900,Brinco,0.100,,
B-00033,2,Brinco dourado de gota com detalhes,149.00,101.00,,kg,71171900,Brinco,0.200,,
B-00034,2,Brinco dourado com gota de cristal,149.00,98.00,,kg,71171900,Brinco,0.300,,
B-00035,2,Brinco dourado com base gota de cristal ,149.00,98.00,,kg,71171900,Brinco,0.300,,
B-00036,1,Brinco dourado meia bola,6.00,23.00,,kg,71171900,Brinco,0.100,,
B-00037,2,Brinco dourado argola achatado,18.00,29.00,,kg,71171900,Brinco,0.300,,
B-00038,2,Brinco dourado argola achatado médio,27.00,29.00,,kg,71171900,Brinco,0.200,,
B-00040,1,Brinco dourado argola ,49.00,52.00,,kg,71171900,Brinco,0.200,,
B-00041,2,Brinco prata argola rendado com zircônia,87.00,52.00,,kg,71171900,Brinco,0.200,,
B-00042,2,Brinco dourado argola ,96.00,62.00,,kg,71171900,Brinco,0.200,,
B-00043,2,Brinco dourado de estrela,42.00,29.00,,kg,71171900,Brinco,0.100,,
B-00044,2,Brinco dourado pequeno de cruz,52.00,34.00,,kg,71171900,Brinco,0.100,,
B-00045,2,Brinco dourado indiano com pedra,129.00,84.00,,kg,71171900,Brinco,0.300,,
B-00046,2,Brinco dourado indiano com duas gotas,60.00,65.00,,kg,71171900,Brinco,0.300,,
B-00047,2,Brinco coração invertido dourado indiano,60.00,39.00,,kg,71171900,Brinco,0.200,,
B-00048,1,Brinco pequeno branco com duas pérolas,55.00,36.00,,kg,71171900,Brinco,0.100,,
B-00050,2,Brinco Indiano com cinco gotas,65.00,39.00,,kg,71171900,Brinco,0.300,,
B-00052,2,Brinco dourado com pedra preta,90.00,59.00,,kg,71171900,Brinco,0.400,,
B-00053,2,Brinco Indiano com detalhes ovais,60.00,121.00,,kg,71171900,Brinco,0.200,,
B-00054,2,Brinco maxi em formato de gotas,200.00,130.00,,kg,71171900,Brinco,0.300,,
B-00055,2,Brinco maxi com pedras,185.00,121.00,,kg,71171900,Brinco,0.300,,
B-00056,1,Brinco Maxi em Formato de Gotas,92.50,121.00,,kg,71171900,Brinco,0.200,,
B-00057,2,Brinco Maxi em Formato de Gotas,200.00,130.00,,kg,71171900,Brinco,0.200,,
B-00060,2,Brinco prata de argola pequeno ,80.00,52.00,,kg,71171900,Brinco,0.200,,
B-00061,1,Brinco dourado com pedras redondas verde,54.50,118.00,,kg,71171900,Brinco,0.160,,
B-00062,1,Brinco dourado com pedras redondas fumê,54.50,118.00,,kg,71171900,Brinco,0.170,,
B-00065,2,Brinco dourado com base de zirconias bra,169.00,184.00,,kg,71171900,Brinco,0.013,,
B-00066,1,Brinco dourado oval com 9 cristais preto,114.50,249.00,,kg,71171900,Brinco,0.230,,
